 ,File Name,Angle,Length,Theta C,Uncertainty,Theta Left,Theta Right,Theta E,Radius,Circle StDev,Ellipse StDev,e,Points:,Volume
1,Capture04933-1.tif,180.000000000,0.936666667,46.000000000,1.700000000,40.700000000,41.100000000,40.900000000,195.860000000,2.124364109,7.044557877,0.910000000,113,1979919.260000000
27,Capture04933.tif,179.590751392,0.933357143,45.400000000,1.700000000,40.000000000,40.000000000,40.000000000,195.960000000,2.052300041,7.153660144,0.910000000,112,1894927.910000000
2,Capture04935.tif,179.157475739,0.906764701,44.300000000,1.900000000,38.800000000,38.700000000,38.800000000,194.920000000,2.260251174,6.820943827,0.910000000,112,1702032.380000000
28,Capture04935.tif,179.592209477,137985.384863775,-80.900000000,1001.700000000,41.100000000,41.400000000,41.200000000,18739575.600000000,18790028.474263300,7.804592289,0.920000000,110,2.412E+22
3,Capture04936.tif,179.144902604,0.893432830,42.900000000,2.000000000,37.500000000,37.600000000,37.600000000,197.120000000,2.247775039,8.026092224,0.890000000,110,1561874.560000000
29,Capture04936.tif,179.358656121,0.893389302,43.100000000,2.100000000,37.500000000,37.600000000,37.600000000,196.500000000,2.482789384,9.204537655,0.900000000,111,1578126.550000000
4,Capture04943.tif,-179.795373086,0.933339286,45.500000000,2.000000000,39.400000000,40.800000000,40.100000000,196.190000000,2.393000025,6.776212922,0.900000000,110,1911364.660000000
30,Capture04943.tif,179.600732738,0.956689895,46.900000000,1.800000000,40.200000000,42.300000000,41.200000000,196.280000000,2.341015755,8.175498770,0.900000000,109,2139218.850000000
5,Capture04945.tif,177.929969347,0.830541992,40.100000000,1.800000000,35.800000000,35.600000000,35.700000000,193.530000000,1.896202159,5.982160512,0.920000000,111,1157290.300000000
31,Capture04945.tif,177.305715710,0.850940656,41.500000000,1.800000000,36.700000000,38.000000000,37.300000000,192.490000000,1.974539571,9.546307484,0.920000000,110,1296256.800000000
6,Capture04946.tif,178.174457693,0.837091526,40.500000000,2.000000000,35.400000000,36.000000000,35.700000000,193.420000000,2.167757709,8.565365155,0.910000000,111,1202090.300000000
32,Capture04946.tif,177.954591511,0.840535544,40.800000000,1.800000000,36.100000000,36.600000000,36.300000000,192.960000000,1.931050985,6.213376077,0.920000000,111,1224855.450000000
7,Capture04948.tif,177.904747435,0.820548597,40.300000000,2.400000000,34.200000000,34.900000000,34.600000000,190.740000000,2.527875293,7.686319519,0.900000000,110,1126367.110000000
33,Capture04948.tif,177.347266375,0.864259477,41.900000000,1.800000000,36.800000000,37.500000000,37.200000000,194.200000000,2.039035854,8.060674693,0.910000000,110,1371634.430000000
8,Capture04950.tif,177.662694141,0.817346656,39.700000000,2.200000000,35.200000000,36.100000000,35.700000000,191.190000000,2.253525308,9.873519614,0.920000000,110,1079857.670000000
34,Capture04950.tif,177.480610709,0.834139610,41.200000000,2.400000000,35.700000000,37.000000000,36.400000000,190.200000000,2.533667281,10.247720264,0.910000000,111,1215770.090000000
9,Capture04951.tif,177.690937211,0.827338437,40.800000000,2.100000000,36.200000000,35.600000000,35.900000000,190.270000000,2.200502452,9.902752696,0.920000000,111,1169192.070000000
35,Capture04951.tif,177.822502207,0.877300151,43.300000000,1.300000000,39.200000000,39.300000000,39.200000000,191.780000000,1.525275495,5.699334619,0.930000000,111,1492012.180000000
10,Capture04953.tif,179.580258246,3074596.490717220,44.400000000,40.600000000,39.100000000,40.900000000,40.000000000,236711595.020000000,162803892.046418000,11.388174234,0.900000000,110,1.935E+25
36,Capture04953.tif,-178.822855114,0.973538791,48.600000000,2.000000000,42.300000000,45.100000000,43.700000000,194.450000000,2.582441483,9.739019310,0.900000000,109,2354751.700000000
11,Capture04954.tif,-179.795373086,0.933339286,46.800000000,2.300000000,38.900000000,40.300000000,39.600000000,192.140000000,2.795577821,8.433260191,0.870000000,109,1986170.430000000
37,Capture04954.tif,-179.551733898,11168038.322670500,120.600000000,4.100000000,36.400000000,38.400000000,37.400000000,1694942913.600000000,126292885.156822000,8.477328322,0.840000000,109,2.01E+28
12,Capture04958.tif,179.714531418,11050420.694081200,78.600000000,35.500000000,37.500000000,38.500000000,38.000000000,1965477665.130000000,890820294.669182000,9.139709353,0.860000000,109,1.429E+28
38,Capture04958.tif,180.000000000,0.923333333,47.200000000,2.700000000,38.400000000,40.200000000,39.300000000,188.340000000,3.279077728,9.592708269,0.870000000,110,1924484.400000000
13,Capture04959.tif,-179.791652629,0.916672727,46.500000000,2.100000000,38.500000000,39.500000000,39.000000000,189.560000000,2.548694145,7.157711989,0.870000000,108,1861674.970000000
39,Capture04959.tif,-179.790892244,0.913339416,46.100000000,2.900000000,36.300000000,38.400000000,37.400000000,189.680000000,3.487379111,9.627608356,0.840000000,109,1810748.050000000
14,Capture04960.tif,179.581790059,0.913357664,47.200000000,2.800000000,37.600000000,39.100000000,38.300000000,186.310000000,3.367347980,10.593005222,0.850000000,109,1869724.690000000
40,Capture04960.tif,-179.583310768,0.916690909,46.800000000,2.600000000,37.800000000,39.900000000,38.800000000,188.640000000,3.219311714,9.435728913,0.860000000,109,1884824.410000000
15,Capture04961.tif,179.732264661,1.426682243,171.000000000,2.400000000,37.100000000,39.400000000,38.200000000,1367.390000000,42.851607199,11.856565656,0.840000000,108,10708316553.010000000
53,Capture04961.tif,-179.612872246,0.986689189,51.000000000,2.700000000,41.000000000,44.600000000,42.800000000,189.910000000,3.627591147,13.048420284,0.860000000,110,2592426.300000000
16,Capture04962.tif,177.537183324,0.930859818,46.600000000,1.500000000,41.600000000,41.100000000,41.400000000,192.130000000,1.855005954,5.858618017,0.910000000,108,1949212.260000000
42,Capture04962.tif,177.519423387,0.924199353,46.100000000,1.600000000,41.000000000,41.100000000,41.000000000,192.070000000,1.944521507,6.631013853,0.910000000,109,1884100.390000000
17,Capture04963.tif,177.701039020,0.914069047,46.200000000,1.800000000,40.300000000,39.900000000,40.100000000,190.000000000,2.148449678,6.545615698,0.900000000,108,1828572.550000000
43,Capture04963.tif,177.106646403,7290709.195172340,-54.400000000,225.800000000,41.500000000,41.200000000,41.300000000,826318585.390000000,739789887.385781000,5.182199344,0.910000000,110,1.008E+27
18,Capture04964.tif,177.545968325,0.934190083,47.900000000,1.500000000,42.200000000,42.800000000,42.500000000,189.510000000,1.843418922,6.638748593,0.910000000,109,2062006.930000000
44,Capture04964.tif,177.351194241,0.937668503,47.600000000,1.700000000,41.600000000,42.400000000,42.000000000,190.520000000,2.151285239,6.534612045,0.910000000,110,2046984.610000000
19,Capture04967.tif,176.818142450,9184518.898423000,115.700000000,24.200000000,42.400000000,41.400000000,41.900000000,1410168968.380000000,753157021.011191000,7.519615753,0.890000000,109,1.137E+28
45,Capture04967.tif,177.990446480,651371.947674874,4.900000000,76.600000000,43.400000000,43.600000000,43.500000000,47810932.010000000,48138241.055757100,8.093018110,0.910000000,110,2.549E+21
20,Capture04968.tif,177.868386757,1.344263532,170.000000000,2.600000000,41.400000000,41.900000000,41.600000000,1167.310000000,39.877560625,5.801698311,0.880000000,108,6661529927.920000000
54,Capture04968.tif,177.605752234,0.957502538,49.600000000,1.900000000,42.100000000,44.100000000,43.100000000,188.430000000,2.462309981,10.139300285,0.890000000,109,2301782.140000000
21,Capture04969.tif,177.805068877,0.957369080,49.200000000,1.200000000,44.400000000,44.200000000,44.300000000,189.280000000,1.611155817,5.080279370,0.920000000,109,2271192.610000000
47,Capture04969.tif,178.216278846,0.963800348,49.600000000,1.500000000,43.400000000,44.400000000,43.900000000,189.770000000,1.992702031,6.173180310,0.910000000,110,2344149.460000000
22,Capture04970.tif,177.341115645,7474657.859163770,-26.100000000,119.600000000,46.800000000,45.300000000,46.000000000,658156852.880000000,635722867.209826000,7.322574036,0.870000000,108,1.579E+26
48,Capture04970.tif,175.755891316,9458300.984137160,55.600000000,5.800000000,48.200000000,47.400000000,47.800000000,1710819460.240000000,135477333.624953000,5.987318835,0.870000000,108,6.876E+27
23,Capture04979.tif,178.227125228,1.400670474,94.200000000,0.200000000,93.400000000,93.300000000,93.400000000,210.680000000,0.479261726,2.150709720,0.970000000,106,21741696.030000000
49,Capture04979.tif,178.095379027,1.404109049,94.900000000,0.100000000,92.500000000,94.300000000,93.400000000,211.380000000,0.278941061,3.881503960,0.920000000,105,22301641.360000000
24,Capture05021.tif,179.803782344,1.946678082,75.000000000,0.400000000,82.700000000,81.900000000,82.300000000,302.130000000,1.395002514,7.548211291,0.770000000,106,35890631.280000000
50,Capture05021.tif,-179.403190615,4411733.582335450,74.400000000,42.000000000,80.200000000,78.600000000,79.400000000,312915653.510000000,301606331.158123000,6.633524969,0.830000000,107,1.153E+26
25,Capture05022.tif,180.000000000,7833960.523333330,93.500000000,41.100000000,133.600000000,130.000000000,131.800000000,746070345.540000000,770834608.927938000,10.366128606,0.720000000,106,1.726E+27
51,Capture05022.tif,179.729228011,3.526706049,134.500000000,0.100000000,130.800000000,128.500000000,129.600000000,741.130000000,1.038369392,8.566356223,0.670000000,107,1602225965.220000000
26,Capture05025.tif,179.608463182,1.463367501,52.200000000,2.300000000,57.400000000,61.700000000,59.600000000,277.950000000,4.636847408,19.552616861,0.860000000,108,8782921.730000000
52,Capture05025.tif,-179.318511943,13398511.997588100,82.100000000,58.800000000,53.700000000,54.700000000,54.200000000,2473213854.800000000,1744748494.128400000,20.380514845,0.940000000,111,2.719E+28
